,load,ohms
2281,"[' 2024-04-29 14:25:16.449579', '6.846']","[' 2024-04-29 14:25:16.449579', '2356.41647']"
2282,"[' 2024-04-29 14:25:16.638772', '6.865']","[' 2024-04-29 14:25:16.638772', '2245.01307']"
2283,"[' 2024-04-29 14:25:16.838903', '6.881']","[' 2024-04-29 14:25:16.838903', '2240.94915']"
2284,"[' 2024-04-29 14:25:17.039496', '6.893']","[' 2024-04-29 14:25:17.039496', '2270.54812']"
2285,"[' 2024-04-29 14:25:17.238689', '6.902']","[' 2024-04-29 14:25:17.238689', '2313.95782']"
2286,"[' 2024-04-29 14:25:17.447047', '6.927']","[' 2024-04-29 14:25:17.447047', '2296.95107']"
2287,"[' 2024-04-29 14:25:17.639952', '6.96']","[' 2024-04-29 14:25:17.639952', '2222.0864']"
2288,"[' 2024-04-29 14:25:17.839713', '6.975']","[' 2024-04-29 14:25:17.839713', '2346.78683']"
2289,"[' 2024-04-29 14:25:18.047504', '6.995']","[' 2024-04-29 14:25:18.047504', '2285.42555']"
2290,"[' 2024-04-29 14:25:18.246333', '7.004']","[' 2024-04-29 14:25:18.246333', '2388.1991']"
2291,"[' 2024-04-29 14:25:18.438957', '7.026']","[' 2024-04-29 14:25:18.438957', '2238.47486']"
2292,"[' 2024-04-29 14:25:18.638049', '7.052']","[' 2024-04-29 14:25:18.638049', '2251.81482']"
2293,"[' 2024-04-29 14:25:18.848445', '7.068']","[' 2024-04-29 14:25:18.848445', '2354.12169']"
