,load,ohms
51,"[' 2024-04-29 13:56:52.450735', ' 0.005']","[' 2024-04-29 13:56:52.450735', ' 351354.181']"
52,"[' 2024-04-29 13:56:52.649252', ' 0.005']","[' 2024-04-29 13:56:52.649252', ' 351512.031']"
53,"[' 2024-04-29 13:56:52.851203', ' 0.005']","[' 2024-04-29 13:56:52.851203', ' 351879.652']"
54,"[' 2024-04-29 13:56:53.048623', ' 0.005']","[' 2024-04-29 13:56:53.048623', ' 351682.954']"
55,"[' 2024-04-29 13:56:53.249268', ' 0.005']","[' 2024-04-29 13:56:53.249268', ' 351926.606']"
56,"[' 2024-04-29 13:56:53.449532', ' 0.005']","[' 2024-04-29 13:56:53.449532', ' 353335.062']"
57,"[' 2024-04-29 13:56:53.649328', ' 0.005']","[' 2024-04-29 13:56:53.649328', ' 353041.852']"
58,"[' 2024-04-29 13:56:53.849577', ' 0.005']","[' 2024-04-29 13:56:53.849577', ' 353675.343']"
59,"[' 2024-04-29 13:56:54.049615', ' 0.005']","[' 2024-04-29 13:56:54.049615', ' 352510.952']"
60,"[' 2024-04-29 13:56:54.249643', ' 0.005']","[' 2024-04-29 13:56:54.249643', ' 353063.429']"
61,"[' 2024-04-29 13:56:54.450440', ' 0.005']","[' 2024-04-29 13:56:54.450440', ' 351500.971']"
62,"[' 2024-04-29 13:56:54.648357', ' 0.005']","[' 2024-04-29 13:56:54.648357', ' 351162.511']"
63,"[' 2024-04-29 13:56:54.849409', ' 0.005']","[' 2024-04-29 13:56:54.849409', ' 351528.032']"
64,"[' 2024-04-29 13:56:55.049671', ' 0.005']","[' 2024-04-29 13:56:55.049671', ' 352162.094']"
65,"[' 2024-04-29 13:56:55.249608', ' 0.005']","[' 2024-04-29 13:56:55.249608', ' 353022.083']"
66,"[' 2024-04-29 13:56:55.449850', ' 0.005']","[' 2024-04-29 13:56:55.449850', ' 352174.591']"
67,"[' 2024-04-29 13:56:55.648370', ' 0.005']","[' 2024-04-29 13:56:55.648370', ' 352560.939']"
68,"[' 2024-04-29 13:56:55.850923', ' 0.005']","[' 2024-04-29 13:56:55.850923', ' 351250.141']"
69,"[' 2024-04-29 13:56:56.049912', ' 0.005']","[' 2024-04-29 13:56:56.049912', ' 351681.499']"
