,Load (lbf),Resistance (Ohms)
985,0.77,31858.5843
986,0.77,31557.568
987,0.77,31274.0104
988,0.771,31478.548
989,0.77,30710.4462
990,0.771,30644.1663
991,0.77,30077.3201
992,0.77,29873.3507
993,0.77,29758.928
994,0.77,29832.4878
995,0.77,29960.1412
996,0.77,29917.1312
997,0.77,29695.9579
998,0.77,29491.882
999,0.77,21241.4704
1000,0.854,15556.6176
1001,0.926,29368.8081
1002,1.398,3006.71055
1003,1.998,3207.76295
1004,5.764,3155.10726
1005,5.764,3153.85781
1006,5.757,3064.57237
1007,5.764,3202.52443
1008,5.763,3151.02832
1009,5.762,3250.50657
1010,5.761,3232.73948
1011,5.761,3126.61881
1012,5.76,3140.29578
1013,5.758,3206.0138
1014,5.757,3171.03504
1015,5.758,3234.32135
1016,5.757,3157.718
1017,5.756,3069.70509
1018,5.756,3225.10804
1019,5.756,3040.80777
1020,5.76,3091.19075
1021,5.759,3116.23287
1022,5.758,3086.73426
1023,5.757,3070.27844
1024,5.815,3099.98694
1025,5.756,4825.38846
1026,5.817,42195.7971
1027,0.765,40392.4681
1028,0.774,37652.0899
1029,0.777,36479.3336
1030,0.777,35400.7856
1031,0.777,33555.3095
1032,0.777,33582.3609
1033,0.777,33539.4612
1034,0.777,33082.2132
1035,0.777,33220.0307
1036,0.777,33014.3828
1037,0.776,29824.3953
1038,1.357,13363.0225
1039,1.809,3483.7444
1040,5.852,3223.90738
1041,5.776,3092.31282
1042,5.806,3097.63715
1043,5.821,3110.43765
1044,5.809,3106.72785
1045,5.811,3149.72779
1046,5.808,3216.9697
1047,5.807,2984.92322
1048,5.808,3167.13197
1049,5.805,3163.07914
1050,5.806,3106.50207
1051,5.807,3049.10819
1052,5.807,3224.14803
1053,5.806,3240.12397
1054,5.805,3165.08538
1055,5.804,3002.57152
1056,5.805,3075.23821
1057,5.805,2999.36911
1058,5.805,3164.67671
1059,5.804,3030.25603
1060,5.804,3012.76475
1061,5.804,2954.20546
1062,5.804,2953.95846
1063,5.803,3043.21842
1064,5.803,3041.29457
1065,5.804,2999.71054
1066,5.804,3100.45629
1067,5.804,3005.61756
1068,5.803,3168.37312
1069,5.803,3076.67695
1070,5.804,2974.78223
1071,5.81,3548.14133
1072,5.887,36735.6268
1073,0.766,34955.0176
1074,0.779,36396.4344
1075,0.78,35290.5828
1076,0.78,34049.0951
1077,0.78,33881.7996
1078,0.78,32885.1219
1079,0.78,31784.8613
1080,0.78,31369.2739
1081,0.78,31340.26
1082,0.78,31528.2355
1083,0.78,30811.7587
1084,0.78,30106.0544
1085,0.78,17792.7917
1086,1.29,14244.3128
1087,1.55,27701.1687
1088,1.429,3380.3117
1089,1.964,3252.29621
1090,5.715,3186.15646
1091,5.759,3128.50696
1092,5.782,3149.49214
1093,5.766,3214.84913
1094,5.761,3233.21944
1095,5.77,3216.44807
1096,5.762,3180.8376
1097,5.765,3227.19557
1098,5.767,3044.30101
1099,5.762,3287.44603
1100,5.762,3129.20144
1101,5.76,3147.98126
1102,5.758,3105.29165
1103,5.757,3018.24444
1104,5.757,3142.75332
1105,5.757,3117.51927
1106,5.756,2969.15868
1107,5.755,3094.7024
1108,5.755,3241.52805
1109,5.755,2997.99144
1110,5.755,3195.39333
1111,5.755,2964.39022
1112,5.755,3192.01264
1113,5.755,3044.57319
1114,5.755,78829.8173
1115,4.34,36943.0707
1116,0.778,35133.2544
1117,0.781,33762.1684
1118,0.781,33280.9681
1119,0.781,33137.1785
1120,0.781,33492.1285
1121,0.781,33733.2824
1122,0.781,32297.5217
1123,0.781,31558.0701
1124,0.781,31131.6123
1125,0.781,30361.1587
1126,0.781,29320.178
1127,1.039,30185.2252
1128,0.777,27601.9934
1129,1.686,3904.77478
1130,2.655,3221.62511
1131,5.549,3284.62163
1132,5.758,3192.11022
1133,5.796,3077.96424
1134,5.771,3019.82461
1135,5.785,3138.09527
1136,5.777,2976.83388
1137,5.775,3175.35055
1138,5.778,2983.24718
1139,5.773,3128.46604
1140,5.779,3142.24439
1141,5.775,3126.03702
1142,5.775,3167.12264
1143,5.775,3191.43299
1144,5.774,3108.42821
1145,5.774,3030.26723
1146,5.773,3093.71812
1147,5.773,3085.91835
1148,5.772,3163.23312
1149,5.772,3076.19677
1150,5.771,3090.83667
